,title,wine,vintage,vinyard,variety,avi,region,state,alcohol_content,size,winetype,price,score,dt_published,taster
0,Lucia 2017 Garys' Vineyard Pinot Noir,Lucia,2017,Garys' Vineyard,Pinot Noir,Santa Lucia Highlands,Central Coast,California,14.2%,750 ml,Red,$65,97,6/1/2019,Matt Kettmann
1,Laetitia 2016 La Coupelle Pinot Noir,Laetitia,2016,La Coupelle,Pinot Noir,Arroyo Grande Valley,Central Coast,California,14.3%,750 ml,Red,$62,96,6/1/2019,Matt Kettmann
2,Lucia 2017 Soberanes Vineyard Pinot Noir,Lucia,2017,Soberanes Vineyard,Pinot Noir,Santa Lucia Highlands,Central Coast,California,14.3%,750 ml,Red,$65,96,6/1/2019,Matt Kettmann
3,Gary Farrell 2016 Rochioli-Allen Vineyards Pinot Noir,Gary Farrell,2016,Rochioli-Allen Vineyards,Pinot Noir,Russian River Valley,Sonoma,California,14.1%,750 ml,Red,$80,96,6/1/2019,Virginie Boone
4,Gary Farrell 2016 Lancel Creek Vineyard Pinot Noir,Gary Farrell,2016,Lancel Creek Vineyard,Pinot Noir,Russian River Valley,Sonoma,California,13.9%,750 ml,Red,$60,96,6/1/2019,Virginie Boone
5,Laetitia 2016 Les Galets Pinot Noir,Laetitia,2016,Les Galets,Pinot Noir,Arroyo Grande Valley,Central Coast,California,14.2%,750 ml,Red,$62,96,6/1/2019,Matt Kettmann
6,Carlisle 2016 Piner-Olivet Ranches Zinfandel,Carlisle,2016,Piner-Olivet Ranches,Zinfandel,Russian River Valley,Sonoma,California,15%,750 ml,Red,$40,96,6/1/2019,Virginie Boone
7,Cobb 2016 Diane Cobb Coastlands Vineyard Pinot Noir,Cobb,2016,Diane Cobb Coastlands Vineyard,Pinot Noir,Sonoma Coast,Sonoma,California,13.6%,750 ml,Red,$120,96,6/1/2019,Virginie Boone
8,Styring 2015 Wit Reserve Estate Pinot Noir,Styring,2015,Wit Reserve Estate,Pinot Noir,Ribbon Ridge,Willamette Valley,Oregon,15%,750 ml,Red,$65,96,6/1/2019,Paul Gregutt
9,Freeman 2016 Yu-Ki Estate Pinot Noir,Freeman,2016,Yu-Ki Estate,Pinot Noir,Sonoma Coast,Sonoma,California,14.1%,750 ml,Red,$68,95,6/1/2019,Jim Gordon
10,Mueller 2016 Estate Cabernet Sauvignon,Mueller,2016,Estate,Cabernet Sauvignon,Diamond Mountain District,Napa,California,14.5%,750 ml,Red,$100,95,6/1/2019,Virginie Boone
11,Ponzi 2016 Abetina 2 Vineyard Pinot Noir,Ponzi,2016,Abetina 2 Vineyard,Pinot Noir,Chehalem Mountains,Willamette Valley,Oregon,14.2%,750 ml,Red,$110,95,6/1/2019,Paul Gregutt
12,Wallis Family Estate 2016 Seraphim Cabernet Sauvignon,Wallis Family Estate,2016,Seraphim,Cabernet Sauvignon,Diamond Mountain District,Napa,California,14.7%,750 ml,Red,$175,95,6/1/2019,Virginie Boone
13,The Debate 2015 Beckstoffer Missouri Hopper Cabernet Sauvignon,The Debate,2015,Beckstoffer Missouri Hopper,Cabernet Sauvignon,Napa Valley,Napa,California,14.5%,750 ml,Red,$200,95,6/1/2019,Virginie Boone
14,Whitcraft 2017 Shokrian Vineyard Pinot Noir,Whitcraft,2017,Shokrian Vineyard,Pinot Noir,Santa Barbara County,Central Coast,California,12.95%,750 ml,Red,$65,95,6/1/2019,Matt Kettmann
15,Anaba 2016 Sangiacomo Roberts Road Vineyard Pinot Noir,Anaba,2016,Sangiacomo Roberts Road Vineyard,Pinot Noir,Petaluma Gap,Sonoma,California,14.1%,750 ml,Red,$56,95,6/1/2019,Virginie Boone
16,Cobb 2016 Rice-Spivak Vineyard Pinot Noir,Cobb,2016,Rice-Spivak Vineyard,Pinot Noir,Sonoma Coast,Sonoma,California,13.6%,750 ml,Red,$75,95,6/1/2019,Virginie Boone
17,Heitz 2013 Trailside Vineyard Cabernet Sauvignon,Heitz,2013,Trailside Vineyard,Cabernet Sauvignon,Napa Valley,Napa,California,14.5%,750 ml,Red,$95,95,6/1/2019,Virginie Boone
18,Stolo 2017 Estate Syrah,Stolo,2017,Estate,Syrah,San Luis Obispo County,Central Coast,California,12.9%,750 ml,Red,$46,95,6/1/2019,Matt Kettmann
19,Stone The Crows 2016 Three Twins Vineyard Cabernet Sauvignon,Stone The Crows,2016,Three Twins Vineyard,Cabernet Sauvignon,Napa Valley,Napa,California,14.8%,750 ml,Red,$110,95,6/1/2019,Virginie Boone
20,The Debate 2015 Beckstoffer To Kalon Cabernet Sauvignon,The Debate,2015,Beckstoffer To Kalon,Cabernet Sauvignon,Napa Valley,Napa,California,14.5%,750 ml,Red,$200,95,6/1/2019,Virginie Boone
21,Les Belles Collines 2014 Les Sommets Cabernet Sauvignon,Les Belles Collines,2014,Les Sommets,Cabernet Sauvignon,Napa Valley,Napa,California,14.6%,750 ml,Red,$100,95,6/1/2019,Virginie Boone
22,Little Giant 2015 Lamonica Cabernet Sauvignon,Little Giant,2015,Lamonica,Cabernet Sauvignon,Napa Valley,Napa,California,14.5%,750 ml,Red,$65,95,6/1/2019,Virginie Boone
23,Waits-Mast 2015 Mariah Vineyard Pinot Noir,Waits-Mast,2015,Mariah Vineyard,Pinot Noir,Mendocino Ridge,Mendocino County,California,13.1%,750 ml,Red,$42,95,6/1/2019,Jim Gordon
24,Cobb 2017 Vonarburg Vineyard Riesling,Cobb,2017,Vonarburg Vineyard,Riesling,Anderson Valley,Mendocino County,California,12.8%,750 ml,White,$45,95,6/1/2019,Virginie Boone
25,Falcone NV Annate IX Red,Falcone,NV,Annate IX,"Red Blends, Red Blends",Paso Robles,Central Coast,California,14.6%,750 ml,Red,$65,95,6/1/2019,Matt Kettmann
26,Schramsberg 2010 J. Schram Rosé,Schramsberg,2010,J. Schram,Rosé,North Coast,North Coast,California,12.6%,750 ml,Sparkling,$160,95,6/1/2019,Jim Gordon
27,Benovia 2015 Blanc de Noir Sparkling,Benovia,2015,Blanc de Noir,"Sparkling Blend, Sparkling",Russian River Valley,Sonoma,California,12%,750 ml,Sparkling,$60,94,6/1/2019,Virginie Boone
28,Cobb 2016 Emmaline Ann Vineyard Pinot Noir,Cobb,2016,Emmaline Ann Vineyard,Pinot Noir,Sonoma Coast,Sonoma,California,13.5%,750 ml,Red,$75,94,6/1/2019,Virginie Boone
29,Cobb 2016 Jack Hill Vineyard Pinot Noir,Cobb,2016,Jack Hill Vineyard,Pinot Noir,Sonoma Coast,Sonoma,California,13.6%,750 ml,Red,$70,94,6/1/2019,Virginie Boone
30,Lucia 2017 Pinot Noir,Lucia,2017,Jack Hill Vineyard,Pinot Noir,Santa Lucia Highlands,Central Coast,California,14.1%,750 ml,Red,$45,94,6/1/2019,Matt Kettmann
31,Patricia Green Cellars 2017 Volcanic Pinot Noir,Patricia Green Cellars,2017,Volcanic,Pinot Noir,Dundee Hills,Willamette Valley,Oregon,13.8%,750 ml,Red,$42,94,6/1/2019,Paul Gregutt
32,Terminim 2017 Cepages d'Or Alder Springs Vineyard Marsanne-Roussanne,Terminim,2017,Cepages d'Or Alder Springs Vineyard,"Marsanne-Roussanne, Rhône-style White Blend",Mendocino County,Mendocino County,California,13.5%,750 ml,White,$50,94,6/1/2019,Virginie Boone
33,V. Vineyards 2015 Audace Ruby Vineyard Cabernet Sauvignon,V. Vineyards,2015,Audace Ruby Vineyard,Cabernet Sauvignon,Sonoma County,Sonoma,California,14.1%,750 ml,Red,$125,94,6/1/2019,Virginie Boone
34,Axr 2015 Madrone Vineyard Cabernet Sauvignon,Axr,2015,Madrone Vineyard,Cabernet Sauvignon,Napa Valley,Napa,California,14.2%,750 ml,Red,$150,94,6/1/2019,Virginie Boone
35,Ayoub 2016 Brittan Vineyard Pinot Noir,Ayoub,2016,Brittan Vineyard,Pinot Noir,McMinnville,Willamette Valley,Oregon,14.4%,750 ml,Red,$55,94,6/1/2019,Paul Gregutt
36,Calla Lily 2014 Audax Cabernet Sauvignon,Calla Lily,2014,Audax,Cabernet Sauvignon,Napa Valley,Napa,California,14.7%,750 ml,Red,$120,94,6/1/2019,Virginie Boone
37,Carlisle 2016 Limerick Lane Vineyard Zinfandel,Carlisle,2016,Limerick Lane Vineyard,Zinfandel,Russian River Valley,Sonoma,California,15.5%,750 ml,Red,$47,94,6/1/2019,Virginie Boone
38,Donum 2016 Year of the Monkey Single Vineyard Pinot Noir,Donum,2016,Year of the Monkey Single Vineyard,Pinot Noir,Russian River Valley,Sonoma,California,14.8%,750 ml,Red,$80,94,6/1/2019,Virginie Boone
39,Holly's Hill 2016 Stem Inclusion Mourvèdre,Holly's Hill,2016,Stem Inclusion,Mourvèdre,El Dorado,Sierra Foothills,California,14.5%,750 ml,Red,$45,94,6/1/2019,Jim Gordon
40,Jeff Cohn 2016 El Diablo Vineyard Grenache,Jeff Cohn,2016,El Diablo Vineyard,Grenache,Russian River Valley,Sonoma,California,15%,750 ml,Red,$45,94,6/1/2019,Virginie Boone
41,MacRostie 2016 Pinot Noir,MacRostie,2016,El Diablo Vineyard,Pinot Noir,Russian River Valley,Sonoma,California,14.2%,750 ml,Red,$46,94,6/1/2019,Virginie Boone
42,Rockpile Winery 2015 Rockpile Ridge Vineyard Cabernet Sauvignon,Rockpile Winery,2015,Rockpile Ridge Vineyard,Cabernet Sauvignon,Rockpile,Sonoma,California,14.57%,750 ml,Red,$62,94,6/1/2019,Virginie Boone
43,Styring 2015 Estate Pinot Noir,Styring,2015,Estate,Pinot Noir,Ribbon Ridge,Willamette Valley,Oregon,14.9%,750 ml,Red,$45,94,6/1/2019,Paul Gregutt
44,The Debate 2015 Beckstoffer Dr. Crane Cabernet Sauvignon,The Debate,2015,Beckstoffer Dr. Crane,Cabernet Sauvignon,Napa Valley,Napa,California,15%,750 ml,Red,$200,94,6/1/2019,Virginie Boone
45,Trujillo 2015 Gary Morisoli Vineyard Cabernet Sauvignon,Trujillo,2015,Gary Morisoli Vineyard,Cabernet Sauvignon,Rutherford,Napa,California,14.8%,750 ml,Red,$135,94,6/1/2019,Virginie Boone
46,Anaba 2016 Chardonnay,Anaba,2016,Gary Morisoli Vineyard,Chardonnay,Sonoma Coast,Sonoma,California,13.7%,750 ml,White,$36,94,6/1/2019,Virginie Boone
47,Carlisle 2016 Carlisle Vineyard Zinfandel,Carlisle,2016,Carlisle Vineyard,Zinfandel,Russian River Valley,Sonoma,California,15%,750 ml,Red,$47,94,6/1/2019,Virginie Boone
48,Jeff Cohn 2016 Sweetwater Springs Vineyard Petite Sirah,Jeff Cohn,2016,Sweetwater Springs Vineyard,Petite Sirah,Russian River Valley,Sonoma,California,15.5%,750 ml,Red,$50,94,6/1/2019,Virginie Boone
49,Teachworth 2013 Estate Blend Cabernet Sauvignon,Teachworth,2013,Estate Blend,Cabernet Sauvignon,Diamond Mountain District,Napa,California,13.9%,750 ml,Red,$125,94,6/1/2019,Virginie Boone
50,Waits-Mast 2015 Oppenlander Vineyard Pinot Noir,Waits-Mast,2015,Oppenlander Vineyard,Pinot Noir,Mendocino County,Mendocino County,California,13.6%,750 ml,Red,$45,94,6/1/2019,Jim Gordon
51,Anaba 2016 Dutton Ranch Chardonnay,Anaba,2016,Dutton Ranch,Chardonnay,Sonoma Coast,Sonoma,California,13%,750 ml,White,$42,94,6/1/2019,Virginie Boone
52,Carlisle 2016 Papera Ranch Zinfandel,Carlisle,2016,Papera Ranch,Zinfandel,Russian River Valley,Sonoma,California,15%,750 ml,Red,$47,94,6/1/2019,Virginie Boone
53,Cuvaison 2017 Méthode Béton Estate Grown Sauvignon Blanc,Cuvaison,2017,Méthode Béton Estate Grown,Sauvignon Blanc,Los Carneros,Napa-Sonoma,California,14.1%,750 ml,White,$35,94,6/1/2019,Virginie Boone
54,Maritana 2017 Dutton Ranch Hansen Hill Vineyard Chardonnay,Maritana,2017,Dutton Ranch Hansen Hill Vineyard,Chardonnay,Russian River Valley,Sonoma,California,14.5%,750 ml,White,$90,94,6/1/2019,Virginie Boone
55,Schramsberg 2011 Méthode Traditionnelle Extra Brut Sparkling,Schramsberg,2011,Méthode Traditionnelle Extra Brut,"Sparkling Blend, Sparkling",North Coast,North Coast,California,12.8%,750 ml,Sparkling,$85,94,6/1/2019,Jim Gordon
56,Sol Rouge 2015 Petite Sirah,Sol Rouge,2015,Méthode Traditionnelle Extra Brut,Petite Sirah,Lake County,Lake County,California,14.5%,750 ml,Red,$45,94,6/1/2019,Jim Gordon
57,Soquel Vineyards 2017 Saveria Vineyard Pinot Noir,Soquel Vineyards,2017,Saveria Vineyard,Pinot Noir,Santa Cruz Mountains,Central Coast,California,15.1%,750 ml,Red,$50,94,6/1/2019,Matt Kettmann
58,Anaba 2016 Wildcat Mountain Vineyard Pinot Noir,Anaba,2016,Wildcat Mountain Vineyard,Pinot Noir,Sonoma Coast,Sonoma,California,13.8%,750 ml,Red,$56,94,6/1/2019,Virginie Boone
59,Holly's Hill 2015 Estate Classique Mourvèdre,Holly's Hill,2015,Estate Classique,Mourvèdre,El Dorado,Sierra Foothills,California,14.5%,750 ml,Red,$25,94,6/1/2019,Jim Gordon
60,Loring Wine Company 2017 Rosella's Vineyard Pinot Noir,Loring Wine Company,2017,Rosella's Vineyard,Pinot Noir,Santa Lucia Highlands,Central Coast,California,14.3%,750 ml,Red,$54,94,6/1/2019,Matt Kettmann
61,Paradise Springs 2017 Syrah,Paradise Springs,2017,Rosella's Vineyard,Syrah,Sta. Rita Hills,Central Coast,California,13.5%,750 ml,Red,$42,94,6/1/2019,Matt Kettmann
62,Stone The Crows 2015 Three Twins Vineyard Cabernet Sauvignon,Stone The Crows,2015,Three Twins Vineyard,Cabernet Sauvignon,Napa Valley,Napa,California,14.8%,750 ml,Red,$130,94,6/1/2019,Virginie Boone
63,Thomas Fogarty 2016 Henry Ayrton's Block Rapley Trail Vineyard Pinot Noir,Thomas Fogarty,2016,Henry Ayrton's Block Rapley Trail Vineyard,Pinot Noir,Santa Cruz Mountains,Central Coast,California,12.8%,750 ml,Red,$88,94,6/1/2019,Matt Kettmann
64,Wallis Family Estate 2016 Cabernet Sauvignon,Wallis Family Estate,2016,Henry Ayrton's Block Rapley Trail Vineyard,Cabernet Sauvignon,Diamond Mountain District,Napa,California,14.6%,750 ml,Red,$100,94,6/1/2019,Virginie Boone
65,Whitcraft 2017 Pence Ranch Pommard Clone Pinot Noir,Whitcraft,2017,Pence Ranch Pommard Clone,Pinot Noir,Sta. Rita Hills,Central Coast,California,12.79%,750 ml,Red,$65,94,6/1/2019,Matt Kettmann
66,Cobb 2016 Coastlands Vineyard Old Firs Block Pinot Noir,Cobb,2016,Coastlands Vineyard Old Firs Block,Pinot Noir,Sonoma Coast,Sonoma,California,13.2%,750 ml,Red,$80,93,6/1/2019,Virginie Boone
67,De Loach 2015 Rue Vineyard Olivet Bench Zinfandel,De Loach,2015,Rue Vineyard Olivet Bench,Zinfandel,Russian River Valley,Sonoma,California,15%,750 ml,Red,$36,93,6/1/2019,Virginie Boone
68,Écluse 2016 Insider Red,Écluse,2016,Insider,"Red Blends, Red Blends",Paso Robles,Central Coast,California,14.9%,750 ml,Red,$49,93,6/1/2019,Matt Kettmann
69,Flying Goat Cellars 2015 Solomon Hills Vineyard Pinot Noir,Flying Goat Cellars,2015,Solomon Hills Vineyard,Pinot Noir,Santa Maria Valley,Central Coast,California,13.9%,750 ml,Red,$46,93,6/1/2019,Matt Kettmann
70,Flying Goat Cellars 2015 Solomon Hills Vineyard Pinot Noir,Flying Goat Cellars,2015,Solomon Hills Vineyard,Pinot Noir,Santa Maria Valley,Central Coast,California,13.9%,750 ml,Red,$46,93,6/1/2019,Matt Kettmann
71,Loring Wine Company 2017 Rancho La Vina Vineyard Pinot Noir,Loring Wine Company,2017,Rancho La Vina Vineyard,Pinot Noir,Sta. Rita Hills,Central Coast,California,14.3%,750 ml,Red,$54,93,6/1/2019,Matt Kettmann
72,Patricia Green Cellars 2017 Durant Vineyard Madrone Block Pinot Noir,Patricia Green Cellars,2017,Durant Vineyard Madrone Block,Pinot Noir,Dundee Hills,Willamette Valley,Oregon,13.9%,750 ml,Red,$42,93,6/1/2019,Paul Gregutt
73,Riverbench 2016 Méthode Champenoise Cork Jumper Pinot Meunier Sparkling,Riverbench,2016,Méthode Champenoise Cork Jumper Pinot Meunier,"Sparkling Blend, Sparkling",Santa Maria Valley,Central Coast,California,12.5%,750 ml,Sparkling,$68,93,6/1/2019,Matt Kettmann
74,The Feminist Party 2017 G-S-M,The Feminist Party,2017,Méthode Champenoise Cork Jumper Pinot Meunier,"G-S-M, Rhône-style Red Blend",Santa Barbara County,Central Coast,California,14.5%,750 ml,Red,$36,93,6/1/2019,Matt Kettmann
75,Trombetta 2017 Gap's Crown Vineyard Chardonnay,Trombetta,2017,Gap's Crown Vineyard,Chardonnay,Petaluma Gap,Sonoma,California,14.1%,750 ml,White,$60,93,6/1/2019,Virginie Boone
76,Amici 2015 Beckstoffer Missouri Hopper Cabernet Sauvignon,Amici,2015,Beckstoffer Missouri Hopper,Cabernet Sauvignon,Oakville,Napa,California,14.7%,750 ml,Red,$175,93,6/1/2019,Virginie Boone
77,Anaba 2016 Pinot Noir,Anaba,2016,Beckstoffer Missouri Hopper,Pinot Noir,Sonoma Coast,Sonoma,California,13.8%,750 ml,Red,$42,93,6/1/2019,Virginie Boone
78,Brophy Clark 2015 Pinot Noir,Brophy Clark,2015,Beckstoffer Missouri Hopper,Pinot Noir,Santa Maria Valley,Central Coast,California,14.1%,750 ml,Red,$38,93,6/1/2019,Matt Kettmann
79,Carlisle 2016 Mancini Ranch Zinfandel,Carlisle,2016,Mancini Ranch,Zinfandel,Russian River Valley,Sonoma,California,15%,750 ml,Red,$47,93,6/1/2019,Virginie Boone
80,Cattleya 2017 Cuvée Number One Pinot Noir,Cattleya,2017,Cuvée Number One,Pinot Noir,Russian River Valley,Sonoma,California,14.5%,750 ml,Red,$50,93,6/1/2019,Matt Kettmann
81,Fess Parker 2017 Ashley's Chardonnay,Fess Parker,2017,Ashley's,Chardonnay,Sta. Rita Hills,Central Coast,California,13.3%,750 ml,White,$40,93,6/1/2019,Matt Kettmann
82,Foxen 2017 Tinaquaic Vineyard Chardonnay,Foxen,2017,Tinaquaic Vineyard,Chardonnay,Santa Maria Valley,Central Coast,California,13.5%,750 ml,White,$43,93,6/1/2019,Matt Kettmann
83,Left Coast 2016 Truffle Hill Estate Pinot Noir,Left Coast,2016,Truffle Hill Estate,Pinot Noir,Willamette Valley,Willamette Valley,Oregon,14.1%,750 ml,Red,$42,93,6/1/2019,Paul Gregutt
84,Mauritson 2015 Buck Pasture Red,Mauritson,2015,Buck Pasture,Bordeaux-style Red Blend,Rockpile,Sonoma,California,14.57%,750 ml,Red,$75,93,6/1/2019,Virginie Boone
85,Patricia Green Cellars 2017 Marine Sedimentary Pinot Noir,Patricia Green Cellars,2017,Marine Sedimentary,Pinot Noir,Chehalem Mountains,Willamette Valley,Oregon,13.8%,750 ml,Red,$42,93,6/1/2019,Paul Gregutt
86,Ponzi 2016 Aurora Vineyard Chardonnay,Ponzi,2016,Aurora Vineyard,Chardonnay,Chehalem Mountains,Willamette Valley,Oregon,13.4%,750 ml,White,$65,93,6/1/2019,Paul Gregutt
87,Portalupi 2016 L. Venturi Vineyard Petite Sirah,Portalupi,2016,L. Venturi Vineyard,Petite Sirah,Mendocino,Mendocino County,California,15.8%,750 ml,Red,$38,93,6/1/2019,Jim Gordon
88,Roederer Estate 2011 L'Ermitage Estate Bottled Brut Rosé Sparkling,Roederer Estate,2011,L'Ermitage Estate Bottled Brut Rosé,"Sparkling Blend, Sparkling",Anderson Valley,Mendocino County,California,12.5%,750 ml,Sparkling,$75,93,6/1/2019,Jim Gordon
89,Stone The Crows 2016 Fallen Feather Cabernet Sauvignon,Stone The Crows,2016,Fallen Feather,Cabernet Sauvignon,Napa Valley,Napa,California,14.5%,750 ml,Red,$85,93,6/1/2019,Virginie Boone
90,Styring 2015 Signature Pinot Noir,Styring,2015,Signature,Pinot Noir,Ribbon Ridge,Willamette Valley,Oregon,14.8%,750 ml,Red,$35,93,6/1/2019,Paul Gregutt
91,Westerhold 2016 Estate Vineyard Chardonnay,Westerhold,2016,Estate Vineyard,Chardonnay,Sonoma Coast,Sonoma,California,14.2%,750 ml,White,$35,93,6/1/2019,Virginie Boone
92,Whitcraft 2017 Pence Ranch Clone 115 Pinot Noir,Whitcraft,2017,Pence Ranch Clone 115,Pinot Noir,Sta. Rita Hills,Central Coast,California,13.24%,750 ml,Red,$65,93,6/1/2019,Matt Kettmann
93,Ayoub 2016 ??? Vineyards Pinot Noir,Ayoub,2016,??? Vineyards,Pinot Noir,Dundee Hills,Willamette Valley,Oregon,13.9%,750 ml,Red,$65,93,6/1/2019,Paul Gregutt
94,Carlisle 2016 Pagani Ranch Zinfandel,Carlisle,2016,Pagani Ranch,Zinfandel,Sonoma Valley,Sonoma,California,15%,750 ml,Red,$47,93,6/1/2019,Virginie Boone
95,Challen 2016 Bentrock Vineyard Pinot Noir,Challen,2016,Bentrock Vineyard,Pinot Noir,Sta. Rita Hills,Central Coast,California,14.5%,750 ml,Red,$65,93,6/1/2019,Matt Kettmann
96,Stolo 2017 Estate Pinot Noir,Stolo,2017,Estate,Pinot Noir,San Luis Obispo County,Central Coast,California,13.3%,750 ml,Red,$46,93,6/1/2019,Matt Kettmann
97,Trombetta 2017 Four Brothers Vineyard Chardonnay,Trombetta,2017,Four Brothers Vineyard,Chardonnay,Sonoma Mountain,Sonoma,California,14.1%,750 ml,White,$50,93,6/1/2019,Virginie Boone
98,V. Vineyards 2015 Single Vineyard Cabernet Sauvignon,V. Vineyards,2015,Single Vineyard,Cabernet Sauvignon,Sonoma County,Sonoma,California,14.1%,750 ml,Red,$90,93,6/1/2019,Virginie Boone
99,Waits-Mast 2016 Nash Mill Vineyard Pinot Noir,Waits-Mast,2016,Nash Mill Vineyard,Pinot Noir,Anderson Valley,Mendocino County,California,13.3%,750 ml,Red,$45,93,6/1/2019,Jim Gordon
100,Carlisle 2016 Montafi Ranch Zinfandel,Carlisle,2016,Montafi Ranch,Zinfandel,Russian River Valley,Sonoma,California,15%,750 ml,Red,$47,93,6/1/2019,Virginie Boone
101,De Loach 2016 Hawk Hill Vineyard Chardonnay,De Loach,2016,Hawk Hill Vineyard,Chardonnay,Green Valley,Sonoma,California,14.5%,750 ml,White,$52,93,6/1/2019,Virginie Boone
102,Jeff Cohn 2016 Iron Hill Vineyard Zinfandel,Jeff Cohn,2016,Iron Hill Vineyard,Zinfandel,Sonoma Valley,Sonoma,California,15.2%,750 ml,Red,$45,93,6/1/2019,Virginie Boone
103,Laetitia 2016 La Colline Pinot Noir,Laetitia,2016,La Colline,Pinot Noir,Arroyo Grande Valley,Central Coast,California,13.9%,750 ml,Red,$62,93,6/1/2019,Matt Kettmann
104,Paradise Springs 2016 Pinot Noir,Paradise Springs,2016,La Colline,Pinot Noir,Sta. Rita Hills,Central Coast,California,13.6%,750 ml,Red,$45,93,6/1/2019,Matt Kettmann
105,Pellegrini 2015 Olivet Lane Vineyard Chardonnay,Pellegrini,2015,Olivet Lane Vineyard,Chardonnay,Russian River Valley,Sonoma,California,14.2%,750 ml,White,$50,93,6/1/2019,Virginie Boone
106,Stag's Leap Wine Cellars 2015 Cask 23 Cabernet Sauvignon,Stag's Leap Wine Cellars,2015,Cask 23,Cabernet Sauvignon,Stags Leap District,Napa,California,14.5%,750 ml,Red,$295,93,6/1/2019,Virginie Boone
107,Cobb 2016 Monticue Vineyard Pinot Noir,Cobb,2016,Monticue Vineyard,Pinot Noir,Sonoma Coast,Sonoma,California,13.5%,750 ml,Red,$75,93,6/1/2019,Virginie Boone
108,De Loach 2015 Zinfandel,De Loach,2015,Monticue Vineyard,Zinfandel,Russian River Valley,Sonoma,California,15%,750 ml,Red,$23,93,6/1/2019,Virginie Boone
109,Halter Ranch 2015 Libelle Picpoul Blanc Sparkling,Halter Ranch,2015,Libelle Picpoul Blanc,"Sparkling Blend, Sparkling",Adelaida District,Central Coast,California,11.5%,750 ml,Sparkling,$50,93,6/1/2019,Matt Kettmann
110,Jeff Cohn 2016 Orcio Cassata Vineyard Zinfandel,Jeff Cohn,2016,Orcio Cassata Vineyard,Zinfandel,Sonoma Valley,Sonoma,California,15.2%,750 ml,Red,$50,93,6/1/2019,Virginie Boone
111,Jeremy Wine Co 2016 Lot No. 87 Tempranillo,Jeremy Wine Co,2016,Lot No. 87,Tempranillo,Lodi,Central Valley,California,14.8%,750 ml,Red,$28,93,6/1/2019,Jim Gordon
112,Le Cadeau 2016 Équinoxe Reserve Pinot Noir,Le Cadeau,2016,Équinoxe Reserve,Pinot Noir,Chehalem Mountains,Willamette Valley,Oregon,14.3%,750 ml,Red,$80,93,6/1/2019,Paul Gregutt
113,Maritana 2017 La Riviere Chardonnay,Maritana,2017,La Riviere,Chardonnay,Russian River Valley,Sonoma,California,14.5%,750 ml,White,$55,93,6/1/2019,Virginie Boone
114,Nelle 2016 Wills Hills Grenache,Nelle,2016,Wills Hills,Grenache,Paso Robles,Central Coast,California,15.8%,750 ml,Red,$50,93,6/1/2019,Matt Kettmann
115,Sol Rouge 2015 Mourvèdre,Sol Rouge,2015,Wills Hills,Mourvèdre,Red Hills,Lake County,California,14.2%,750 ml,Red,$36,93,6/1/2019,Jim Gordon
116,Starfield 2016 Tempranillo,Starfield,2016,Wills Hills,Tempranillo,El Dorado,Sierra Foothills,California,15%,750 ml,Red,$28,93,6/1/2019,Jim Gordon
117,The Paring 2016 Pinot Noir,The Paring,2016,Wills Hills,Pinot Noir,Santa Barbara County,Central Coast,California,14.2%,750 ml,Red,$25,93,6/1/2019,Matt Kettmann
118,Trombetta 2017 Indindoli Vineyard Chardonnay,Trombetta,2017,Indindoli Vineyard,Chardonnay,Russian River Valley,Sonoma,California,14.1%,750 ml,White,$45,93,6/1/2019,Virginie Boone
119,Trujillo 2015 Henry Brothers Vineyard Cabernet Sauvignon,Trujillo,2015,Henry Brothers Vineyard,Cabernet Sauvignon,Howell Mountain,Napa,California,14.9%,750 ml,Red,$135,93,6/1/2019,Virginie Boone
120,Zaca Mesa 2016 Grenache,Zaca Mesa,2016,Henry Brothers Vineyard,Grenache,Santa Ynez Valley,Central Coast,California,14.8%,750 ml,Red,$38,93,6/1/2019,Matt Kettmann
121,Boheme 2015 Occidental Hills Syrah,Boheme,2015,Occidental Hills,Syrah,Sonoma Coast,Sonoma,California,14.3%,750 ml,Red,$45,92,6/1/2019,Virginie Boone
122,Challen 2016 Lindsay's Vineyard Pinot Noir,Challen,2016,Lindsay's Vineyard,Pinot Noir,Sta. Rita Hills,Central Coast,California,14.1%,750 ml,Red,$55,92,6/1/2019,Matt Kettmann
123,Concannon 2016 Reserve Malbec,Concannon,2016,Reserve,Malbec,Livermore Valley,Central Coast,California,14.4%,750 ml,Red,$38,92,6/1/2019,Jim Gordon
124,Foxen 2017 Block UU Bien Nacido Vineyard Chardonnay,Foxen,2017,Block UU Bien Nacido Vineyard,Chardonnay,Santa Maria Valley,Central Coast,California,13.4%,750 ml,White,$34,92,6/1/2019,Matt Kettmann
125,Gramercy 2015 Syrah,Gramercy,2015,Block UU Bien Nacido Vineyard,Syrah,Columbia Valley (WA),Columbia Valley,Washington,13.3%,750 ml,Red,$36,92,6/1/2019,Sean P. Sullivan
126,Jaffurs 2016 Pinot Noir,Jaffurs,2016,Block UU Bien Nacido Vineyard,Pinot Noir,Santa Barbara County,Central Coast,California,13.1%,750 ml,Red,$36,92,6/1/2019,Matt Kettmann
127,Kendall-Jackson 2017 Grand Reserve Pinot Noir,Kendall-Jackson,2017,Grand Reserve,Pinot Noir,Anderson Valley,Mendocino County,California,14.5%,750 ml,Red,$26,92,6/1/2019,Jim Gordon
