,title,wine,vintage,vinyard,variety,avi,region,state,alcohol_content,size,winetype,price,score,dt_published,taster
3181,Raymond 2015 Reserve Selection Cabernet Sauvignon,Raymond,2015,Reserve Selection,Cabernet Sauvignon,Napa Valley,Napa,California,14.5%,750 ml,Red,$45,90,2/1/2019,Virginie Boone
3182,Red Tail Ridge 2016 Dry RTR Estate Vineyard Riesling,Red Tail Ridge,2016,Dry RTR Estate Vineyard,Riesling,Finger Lakes,Finger Lakes,New York,12.6%,750 ml,White,$19,90,2/1/2019,Alexander Peartree
3183,Ron Rubin 2015 Estate Bottled Pinot Noir,Ron Rubin,2015,Estate Bottled,Pinot Noir,Green Valley,Sonoma,California,13.7%,750 ml,Red,$44,90,2/1/2019,Virginie Boone
3184,Villa San Juliette 2017 Small Lot Selection Reserve Rosé,Villa San Juliette,2017,Small Lot Selection Reserve,Rosé,Paso Robles,Central Coast,California,14%,750 ml,Rose,$24,90,2/1/2019,Matt Kettmann
3185,Waypoint 2014 Tierra Buena Cabernet Sauvignon,Waypoint,2014,Tierra Buena,Cabernet Sauvignon,Spring Mountain District,Napa,California,15.7%,750 ml,Red,$125,90,2/1/2019,Virginie Boone
3186,Whitehall Lane 2015 Merlot,Whitehall Lane,2015,Tierra Buena,Merlot,Napa Valley,Napa,California,14.6%,750 ml,Red,$28,90,2/1/2019,Virginie Boone
3187,Avennia 2016 Le Corbeau Discovery Vineyard Syrah,Avennia,2016,Le Corbeau Discovery Vineyard,Syrah,Horse Heaven Hills,Columbia Valley,Washington,14.8%,750 ml,Red,$50,90,2/1/2019,Sean P. Sullivan
3188,Barnstormer 2017 Dry Riesling,Barnstormer,2017,Dry,Riesling,Finger Lakes,Finger Lakes,New York,11%,750 ml,White,$21,90,2/1/2019,Alexander Peartree
3189,Barnstormer 2017 Dry Riesling,Barnstormer,2017,Dry,Riesling,Finger Lakes,Finger Lakes,New York,11%,750 ml,White,$21,90,2/1/2019,Alexander Peartree
3190,Bonterra 2016 Equinox Made with Organic Grapes Red,Bonterra,2016,Equinox Made with Organic Grapes,"Red Blends, Red Blends",California,California Other,California,13.7%,750 ml,Red,$16,90,2/1/2019,Jim Gordon
3191,Brick & Mortar 2016 Cougar Rock Vineyard Chardonnay,Brick & Mortar,2016,Cougar Rock Vineyard,Chardonnay,Napa Valley,Napa,California,13%,750 ml,White,$45,90,2/1/2019,Virginie Boone
3192,Bruliam 2016 Torrey Hill Pinot Noir,Bruliam,2016,Torrey Hill,Pinot Noir,Russian River Valley,Sonoma,California,14.3%,750 ml,Red,$50,90,2/1/2019,Virginie Boone
3193,Cadence 2015 Ciel du Cheval Vineyard Red,Cadence,2015,Ciel du Cheval Vineyard,Bordeaux-style Red Blend,Red Mountain,Columbia Valley,Washington,14.4%,750 ml,Red,$45,90,2/1/2019,Sean P. Sullivan
3194,Cardwell Hill 2017 Estate Bottled The Bard Chardonnay,Cardwell Hill,2017,Estate Bottled The Bard,Chardonnay,Willamette Valley,Willamette Valley,Oregon,13.2%,750 ml,White,$18,90,2/1/2019,Paul Gregutt
3195,Chateau Ste. Michelle 2017 Mimi Chardonnay,Chateau Ste. Michelle,2017,Mimi,Chardonnay,Horse Heaven Hills,Columbia Valley,Washington,14.5%,750 ml,White,$20,90,2/1/2019,Sean P. Sullivan
3196,Chenoweth 2017 Bootlegger's Hill Chardonnay,Chenoweth,2017,Bootlegger's Hill,Chardonnay,Green Valley,Sonoma,California,14.1%,750 ml,White,$45,90,2/1/2019,Virginie Boone
3197,Clif Family 2015 Cold Springs Vineyard Estate Cabernet Sauvignon,Clif Family,2015,Cold Springs Vineyard Estate,Cabernet Sauvignon,Howell Mountain,Napa,California,14.8%,750 ml,Red,$125,90,2/1/2019,Virginie Boone
3198,Clif Family 2015 Kit's Killer Cabernet Sauvignon,Clif Family,2015,Kit's Killer,Cabernet Sauvignon,Howell Mountain,Napa,California,14.5%,750 ml,Red,$75,90,2/1/2019,Virginie Boone
3199,Darioush 2014 Caravan Red,Darioush,2014,Caravan,Bordeaux-style Red Blend,Napa Valley,Napa,California,14.8%,750 ml,Red,$48,90,2/1/2019,Virginie Boone
3200,Darioush 2014 Caravan Red,Darioush,2014,Caravan,Bordeaux-style Red Blend,Napa Valley,Napa,California,14.8%,750 ml,Red,$48,90,2/1/2019,Virginie Boone
3201,Domaine Carneros 2013 Estate Brut Sparkling,Domaine Carneros,2013,Estate Brut,"Sparkling Blend, Sparkling",Carneros,Napa-Sonoma,California,12%,750 ml,Sparkling,$35,90,2/1/2019,Virginie Boone
3202,Earth Song 2017 Estate Grown Pinot Gris,Earth Song,2017,Estate Grown,Pinot Gris,Southern Oregon,Southern Oregon,Oregon,13%,750 ml,White,$18,90,2/1/2019,Paul Gregutt
3203,Educated Guess 2016 Cabernet Sauvignon,Educated Guess,2016,Estate Grown,Cabernet Sauvignon,North Coast,North Coast,California,14.5%,750 ml,Red,$20,90,2/1/2019,Jim Gordon
3204,Flanagan 2016 Syrah,Flanagan,2016,Estate Grown,Syrah,Bennett Valley,Sonoma,California,15.5%,750 ml,Red,$75,90,2/1/2019,Virginie Boone
3205,Fox Run 2017 Silvan Riesling,Fox Run,2017,Silvan,Riesling,Seneca Lake,Finger Lakes,New York,12.5%,750 ml,White,$25,90,2/1/2019,Alexander Peartree
3206,Frank Family 2016 Beckstoffer Carneros Lake Vineyard Reserve Chardonnay,Frank Family,2016,Beckstoffer Carneros Lake Vineyard Reserve,Chardonnay,Carneros,Napa-Sonoma,California,14.5%,750 ml,White,$65,90,2/1/2019,Virginie Boone
3207,Frank Family 2016 Pinot Noir,Frank Family,2016,Beckstoffer Carneros Lake Vineyard Reserve,Pinot Noir,Carneros,Napa-Sonoma,California,14.5%,750 ml,Red,$38,90,2/1/2019,Virginie Boone
3208,Frisson Wines 2014 Cabernet Sauvignon,Frisson Wines,2014,Beckstoffer Carneros Lake Vineyard Reserve,Cabernet Sauvignon,Napa Valley,Napa,California,14.5%,750 ml,Red,$60,90,2/1/2019,Virginie Boone
3209,Grassini 2016 Reserve Sauvignon Blanc,Grassini,2016,Reserve,Sauvignon Blanc,Happy Canyon of Santa Barbara,Central Coast,California,13.3%,750 ml,White,$45,90,2/1/2019,Matt Kettmann
3210,Grounded Wine Co. 2016 Public Radio Red,Grounded Wine Co.,2016,Public Radio,Rhône-style Red Blend,Paso Robles,Central Coast,California,14.4%,750 ml,Red,$25,90,2/1/2019,Matt Kettmann
3211,Hickory Hollow 2016 Riesling,Hickory Hollow,2016,Public Radio,Riesling,Finger Lakes,Finger Lakes,New York,12.5%,750 ml,White,$18,90,2/1/2019,Alexander Peartree
3212,La Follette 2016 Hawk's Roost Vineyard Pinot Noir,La Follette,2016,Hawk's Roost Vineyard,Pinot Noir,Russian River Valley,Sonoma,California,13.8%,750 ml,Red,$45,90,2/1/2019,Virginie Boone
3213,La Follette 2016 Heintz Vineyard Pinot Noir,La Follette,2016,Heintz Vineyard,Pinot Noir,Russian River Valley,Sonoma,California,13.7%,750 ml,Red,$60,90,2/1/2019,Virginie Boone
3214,L'Ecole No. 41 2017 Estate Luminesce Seven Hills Vineyard Semillon-Sauvignon Blanc,L'Ecole No. 41,2017,Estate Luminesce Seven Hills Vineyard,"Semillon-Sauvignon Blanc, White Blend",Walla Walla Valley (WA),Columbia Valley,Washington,14.5%,750 ml,White,$22,90,2/1/2019,Sean P. Sullivan
3215,L'Ecole No. 41 2017 Semillon,L'Ecole No. 41,2017,Estate Luminesce Seven Hills Vineyard,"Sémillon, Sémillon",Columbia Valley (WA),Columbia Valley,Washington,14.5%,750 ml,White,$15,90,2/1/2019,Sean P. Sullivan
3216,McClain Cellars 2016 Kiss of Life White,McClain Cellars,2016,Kiss of Life,White Blend,Santa Ynez Valley,Central Coast,California,14.7%,750 ml,White,$32,90,2/1/2019,Matt Kettmann
3217,Melmar Wines 2015 Signature Edition Cabernet Sauvignon,Melmar Wines,2015,Signature Edition,Cabernet Sauvignon,Oakville,Napa,California,14.9%,750 ml,Red,$99,90,2/1/2019,Virginie Boone
3218,Migration 2016 Dutton Ranch Pinot Noir,Migration,2016,Dutton Ranch,Pinot Noir,Russian River Valley,Sonoma,California,14.5%,750 ml,Red,$70,90,2/1/2019,Virginie Boone
3219,Pellet Estate 2016 Sun Chase Vineyard Un-Oaked Chardonnay,Pellet Estate,2016,Sun Chase Vineyard Un-Oaked,Chardonnay,Sonoma Coast,Sonoma,California,14.5%,750 ml,White,$42,90,2/1/2019,Virginie Boone
3220,Red Tail Ridge 2016 RTR Estate Vineyard Riesling,Red Tail Ridge,2016,RTR Estate Vineyard,Riesling,Finger Lakes,Finger Lakes,New York,11.3%,750 ml,White,$16,90,2/1/2019,Alexander Peartree
3221,Rombauer 2015 Merlot,Rombauer,2015,RTR Estate Vineyard,Merlot,Napa Valley,Napa,California,14.5%,750 ml,Red,$45,90,2/1/2019,Virginie Boone
3222,Structure 2016 Red Willow Vineyard Syrah,Structure,2016,Red Willow Vineyard,Syrah,Yakima Valley,Columbia Valley,Washington,14.5%,750 ml,Red,$35,90,2/1/2019,Sean P. Sullivan
3223,The Calling 2015 Cabernet Sauvignon,The Calling,2015,Red Willow Vineyard,Cabernet Sauvignon,Alexander Valley,Sonoma,California,14.5%,750 ml,Red,$34,90,2/1/2019,Virginie Boone
3224,The Federalist 2016 Zinfandel,The Federalist,2016,Red Willow Vineyard,Zinfandel,Lodi,Central Valley,California,14.5%,750 ml,Red,$18,90,2/1/2019,Jim Gordon
3225,The Federalist 2016 Zinfandel,The Federalist,2016,Red Willow Vineyard,Zinfandel,Lodi,Central Valley,California,14.5%,750 ml,Red,$18,90,2/1/2019,Jim Gordon
